STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,unit,Unit of measure,TIME_PERIOD,Time,geo,Geopolitical entity (reporting),ind_type,Individual type,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y55_74_DIS_LTD_SEV,Individuals aged 55 to 74 with disability (activity limitation) - limited or severely limited,86.76,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y55_74_DIS_NONE,Individuals aged 55 to 74 with disability (activity limitation) - not limited at all,92.78,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y55_74_DIS_SEV,Individuals aged 55 to 74 with disability (activity limitation) - severely limited,76.85,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),DIS_LTD,"Disability (activity limitation) - limited, but not severely",89.04,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),DIS_LTD_SEV,Disability (activity limitation) - limited or severely limited,87.18,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),DIS_NONE,Disability (activity limitation) - not limited at all,95.22,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),DIS_SEV,Disability (activity limitation) - severely limited,82.29,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),F_DIS_LTD,"Females with disability (activity limitation) - limited, but not severely",88.63,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),F_DIS_LTD_SEV,Females with disability (activity limitation) - limited or severely limited,87.08,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),F_DIS_NONE,Females with disability (activity limitation) - not limited at all,95.08,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),F_DIS_SEV,Females with disability (activity limitation) - severely limited,82.93,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),M_DIS_LTD,"Males with disability (activity limitation) - limited, but not severely",89.53,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),M_DIS_LTD_SEV,Males with disability (activity limitation) - limited or severely limited,87.29,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),M_DIS_NONE,Males with disability (activity limitation) - not limited at all,95.35,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),M_DIS_SEV,Males with disability (activity limitation) - severely limited,81.54,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y16_24_DIS_LTD,"Individuals aged 16 to 24 with disability (activity limitation) - limited, but not severely",99.14,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y16_24_DIS_LTD_SEV,Individuals aged 16 to 24 with disability (activity limitation) - limited or severely limited,96.60,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y16_24_DIS_NONE,Individuals aged 16 to 24 with disability (activity limitation) - not limited at all,99.22,,,,,
